Provisioning : Storage Systems : V400_B94 : Virtual Volumes - Virtual Volumes

Name,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
AIXSASP1_APPLIVG_8_repli,Normal,358 000 GiB,359 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_9_repli,Normal,358 000 GiB,359 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_10_repli,Normal,450 000 GiB,202 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_11_repli,Normal,350 000 GiB,351 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_12_repli,Normal,350 000 GiB,351 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT2VG_10_repli,Normal,256 000 GiB,256 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT2VG_11_repli,Normal,256 000 GiB,91 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT2VG_12_repli,Normal,256 000 GiB,255 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT3VG_13_repli,Normal,512 000 GiB,496 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT3VG_14_repli,Normal,200 000 GiB,201 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT4VG_15_repli,Normal,150 000 GiB,151 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT5VG_16_repli,Normal,220 000 GiB,221 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DT5VG_63_repli,Normal,220 000 GiB,221 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DT6VG_17_repli,Normal,200 000 GiB,201 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT7VG_18_repli,Normal,250 000 GiB,251 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DT7VG_53_repli,Normal,250 000 GiB,205 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_19_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_20_repli,Normal,150 000 GiB,151 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_21_repli,Normal,200 000 GiB,191 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_22_repli,Normal,200 000 GiB,201 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_23_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_24_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_25_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_26_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_27_repli,Normal,240 000 GiB,241 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_28_repli,Normal,250 000 GiB,251 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_29_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_30_repli,Normal,156 000 GiB,157 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_31_repli,Normal,156 000 GiB,157 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_32_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_33_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_34_repli,Normal,200 000 GiB,201 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_35_repli,Normal,200 000 GiB,201 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_36_repli,Normal,156 000 GiB,157 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_37_repli,Normal,156 000 GiB,157 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_38_repli,Normal,250 000 GiB,231 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_39_repli,Normal,150 000 GiB,151 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_40_repli,Normal,250 000 GiB,229 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_41_repli,Normal,165 000 GiB,165 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_42_repli,Normal,200 000 GiB,197 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_43_repli,Normal,165 000 GiB,165 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_44_repli,Normal,165 000 GiB,165 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_45_repli,Normal,200 000 GiB,201 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_46_repli,Normal,250 000 GiB,251 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_65_repli,Normal,220 000 GiB,221 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_66_repli,Normal,250 000 GiB,251 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_67_repli,Normal,250 000 GiB,251 125 GiB,--,AIXSASP1.r39317
AIXSASP1_OCCVG_49_repli,Normal,350 000 GiB,272 000 GiB,--,AIXSASP1.r39317
AIXSASP1_QUATREMVG_51_repli,Normal,100 000 GiB,16 500 GiB,--,AIXSASP1.r39317
AIXSASP1_ROOTVG_47_repli,Normal,50 000 GiB,33 000 GiB,--,AIXSASP1.r39317
AIXSASP1_SNAPVG_52_repli,Normal,510 000 GiB,511 125 GiB,--,AIXSASP1.r39317
AIXSASP1_VISIOSTEVG_48_repli,Normal,970 000 GiB,971 000 GiB,--,AIXSASP1.r39317
AIXSASP1_VISIOSTEVG_64_repli,Normal,990 000 GiB,642 000 GiB,--,AIXSASP1.r39317
AIXSASP2_11_repli,Normal,1 500 000 GiB,1 461 000 GiB,--,AIXSASP2.r39317
AIXSASP2_12_repli,Normal,540 000 GiB,541 000 GiB,--,AIXSASP2.r39317
