Provisioning : Storage Systems : A92_T400 : Virtual Volumes - Virtual Volumes

Name,Set,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
AIXUR721_02,--,Normal,30 000 GiB,1 000 GiB,AIX_UR_721,--
AIXUR731_01,--,Normal,30 000 GiB,14 000 GiB,AIX_UR_731,--
AIXUR731_DATAVG,--,Normal,30 000 GiB,1 000 GiB,AIX_UR_731,--
AIXUR741_01,--,Normal,50 000 GiB,23 000 GiB,AIX_UR_741,--
AIXUR751_01,--,Normal,50 000 GiB,22 000 GiB,AIX_UR_751,--
AIXUR751_02,--,Normal,45 000 GiB,5 000 GiB,AIX_UR_751,--
AIXUR771_01,--,Normal,50 000 GiB,29 000 GiB,AIX_UR_771,--
AIXUR811_01,--,Normal,50 000 GiB,23 000 GiB,AIX_UR_811,--
AIXUR811_DATAVG,--,Normal,30 000 GiB,1 000 GiB,AIX_UR_811,--
AIXUR821_01,--,Normal,30 000 GiB,7 000 GiB,AIX_UR_821,--
AIXUR821_02,--,Normal,30 000 GiB,14 000 GiB,AIX_UR_821,--
AIXUR831_01,--,Normal,30 000 GiB,25 000 GiB,AIX_UR_831,--
AIXUR841_01,--,Normal,50 000 GiB,22 000 GiB,AIX_UR_841,--
AIXURWT3_01,--,Normal,30 000 GiB,15 000 GiB,AIX_UR_WT3,--
AIXURWT3_02,--,Normal,30 000 GiB,19 000 GiB,AIX_UR_WT3,--
AIXURWT4_01,--,Normal,30 000 GiB,12 000 GiB,AIX_UR_WT4,--
AIXURWT4_02,--,Normal,30 000 GiB,19 000 GiB,AIX_UR_WT4,--
AIXURWT8_01,--,Normal,30 000 GiB,9 000 GiB,AIX_UR_WT8,--
AIXURWT8_02,--,Normal,30 000 GiB,13 000 GiB,AIX_UR_WT8,--
AIXURBD5_01,--,Normal,50 000 GiB,29 000 GiB,AIX_URBD_5,--
CLONE_PIXIFCP_rootvg,--,Normal,50 000 GiB,13 000 GiB,CLONE_PIXIFCP,--
ESX_11F_T_ARCHI,--,Normal,2 000 000 GiB,895 375 GiB,ESX_18_T_ARCHI,--
ESX_2EB_T_ARCHI,--,Normal,2 000 000 GiB,202 000 GiB,ESX_18_T_ARCHI,--
ESX_109_T,--,Normal,2 000 000 GiB,1 137 125 GiB,ESX_26_T,--
ESX_10A_T,--,Normal,1 500 000 GiB,858 000 GiB,ESX_26_T,--
ESX_10B_T,--,Normal,1 500 000 GiB,472 000 GiB,ESX_26_T,--
ESX_14A_T,--,Normal,1 500 000 GiB,915 375 GiB,ESX_26_T,--
ESX_2AF_T,--,Normal,1 500 000 GiB,838 375 GiB,ESX_26_T,--
ESX_313_R_BULLION,--,Normal,3 000 000 GiB,125 000 GiB,ESX_201_R_BULLION,--
OIXTECH1_01,--,Normal,30 000 GiB,30 000 GiB,OIX_TECH1,--
PIXTECH1_rootvg,--,Normal,50 000 GiB,39 000 GiB,PIX_TECH1,--
PIXTECH1_applivg,--,Normal,50 000 GiB,29 000 GiB,PIX_TECH1,--
PIXTECH1_rootvg_2,--,Normal,30 000 GiB,19 000 GiB,PIX_TECH1,--
PIXUR4B1_DATAVG,--,Normal,30 000 GiB,14 000 GiB,PIX_UR_4B1,--
PIXUR4B1_ROOTVG,--,Normal,50 000 GiB,8 000 GiB,PIX_UR_4B1,--
PIXUR4D1_DATAVG,--,Normal,30 000 GiB,12 000 GiB,PIX_UR_4D1,--
PIXUR4D1_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_4D1,--
PIXUR4E1_DATAVG,--,Normal,30 000 GiB,12 000 GiB,PIX_UR_4E1,--
PIXUR4E1_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_4E1,--
PIXUR4G1_DATAVG,--,Normal,30 000 GiB,13 000 GiB,PIX_UR_4G1,--
PIXUR4G1_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_4G1,--
PIXUR4H1_DATAVG,--,Normal,30 000 GiB,12 000 GiB,PIX_UR_4H1,--
PIXUR4H1_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_4H1,--
PIXUR321_datavg,--,Normal,30 000 GiB,14 000 GiB,PIX_UR_321,--
PIXUR321_rootvg,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_321,--
PIXUR331_DATAVG,--,Normal,20 000 GiB,12 000 GiB,PIX_UR_331,--
PIXUR331_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_331,--
PIXUR351_datavg,--,Normal,30 000 GiB,15 000 GiB,PIX_UR_351,--
PIXUR351_rootvg,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_351,--
PIXUR361_DATAVG,--,Normal,30 000 GiB,14 000 GiB,PIX_UR_361,--
PIXUR361_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_361,--
PIXUR371_DATAVG,--,Normal,30 000 GiB,14 000 GiB,PIX_UR_371,--
PIXUR371_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_371,--
PIXUR411_datavg,--,Normal,30 000 GiB,14 000 GiB,PIX_UR_411,--
PIXUR411_rootvg,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_411,--
PIXUR421_datavg,--,Normal,20 000 GiB,11 000 GiB,PIX_UR_421,--
PIXUR421_rootvg,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_421,--
PIXUR431_DATAVG,--,Normal,30 000 GiB,13 000 GiB,PIX_UR_431,--
PIXUR431_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_431,--
PIXUR451_DATAVG,--,Normal,30 000 GiB,14 000 GiB,PIX_UR_451,--
PIXUR451_rootvg,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_451,--
PIXUR461_DATAVG,--,Normal,30 000 GiB,16 000 GiB,PIX_UR_461,--
PIXUR461_rootvg,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_461,--
PIXUR471_DATAVG,--,Normal,30 000 GiB,15 000 GiB,PIX_UR_471,--
PIXUR471_rootvg,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_471,--
